"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
2,2,3,993,2,2,3,993,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.651775937258501,0.76210445524525,0.84506032429502,0.77734864512267,0.606715700638229
3,4,1,992,2,4,1,993,2,4,1,993,0,4,1,995,1,4,1,994,1,4,1,994,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.725409972253523,0.691938698487817,0.670646062470798,0.798716470998577,0.568923273642359
2,3,2,993,2,3,2,993,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.767290612361033,0.750926545879048,0.741083945632807,0.832452382808131,0.817711236903184
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.743555637372787,0.753495616001026,0.781471859526443,0.689248651912302,0.593739731981139
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.776187478539804,0.755010124186668,0.777312804209633,0.812197150148204,0.792962094108698
5,2,3,990,4,2,3,991,3,2,3,992,3,2,3,992,2,2,3,993,2,2,3,993,2,1,4,993,2,1,4,993,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.713315224610593,0.683211500447997,0.820668702340515,0.786861735548188,0.831250859871525
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.764732542231287,0.776948887766473,0.797943788277662,0.761964144500183,0.863261438653803
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0.742364406502648,0.752181620702595,0.762561427079895,0.763117733417563,0.719094859856465
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.752579495237911,0.745280262284242,0.744952932668847,0.786087679099235,0.719493077608202
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.762198738486306,0.726323411071186,0.764655931775194,0.804845446950711,0.656933383156341
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.731249602947716,0.758447270534831,0.760025057803007,0.756621981797393,0.790091207351665
3,3,2,992,2,3,2,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,1,4,994,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.712459997880508,0.707831016779843,0.683114183288037,0.877939887445462,0.917712178204555
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.776498776405887,0.763496241512369,0.752826802821653,0.676044437765447,0.710691613951339
2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.71840590799998,0.784960742638476,0.825364387175515,0.710630548157691,0.734469792843349
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.752917308584478,0.791205617782918,0.816460738095069,0.732986508391213,0.870646148648459
2,3,2,993,2,3,2,993,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.737943762997072,0.700824113382119,0.798237253913646,0.728275645660846,0.742255457402728
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.734442373273181,0.747179136415381,0.73750664610472,0.761965136346406,0.718394601817918
2,3,2,993,2,3,2,993,1,3,2,994,0,3,2,995,1,3,2,994,1,3,2,994,0,3,2,995,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.711061144862474,0.711371105449926,0.701812878979558,0.697667058133407,0.495297291515087
