"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","S1","S2","S3","S4"
1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0.699184764813217,0.755738857551766,0.777312804209633,0.657264922891332
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,1,4,995,0.733655244480508,0.780442309091484,0.820668702340515,0.665314080902838
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.811907757803776,0.817380277085155,0.797943788277662,0.674160671903278
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.731724943667604,0.743921091353315,0.762561427079895,0.665081571197841
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.76696084041618,0.742214291154446,0.744952932668847,0.664508742803837
1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.775613402302395,0.767314584008292,0.764655931775194,0.700793299846496
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.762649117423517,0.753609926662642,0.760025057803007,0.73954616478754
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,2,2,3,993,1,2,3,994,1,1,4,994,1,1,4,994,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.705450186271955,0.656895201506105,0.683114183288037,0.826737509912662
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.726904471031572,0.752046478634056,0.752826802821653,0.736873364607426
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.762237834026779,0.847698210802767,0.825364387175515,0.616768047002353
