"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
2,1,4,993,2,1,4,993,2,1,4,993,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.332867620945156,0.798426137827995
3,2,3,992,1,0,5,994,1,0,5,994,0,0,5,995,3,2,3,992,3,2,3,992,2,2,3,993,0,2,3,995,0.330147896073492,0.738374148726613
5,0,5,990,3,0,5,992,0,0,5,995,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.201138533554654,0.756277415359792
2,1,4,993,2,0,5,993,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.316580330405214,0.867769233185163
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.35444059191249,0.857181872228418
2,2,3,993,2,2,3,993,2,2,3,993,2,1,4,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.520394310540923,0.805685601779499
2,0,5,993,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.191315184241284,0.781026987289638
4,0,5,991,3,0,5,992,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.194482513037041,0.67311622658082
2,1,4,993,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.232501689504065,0.822167480386725
2,1,4,993,2,1,4,993,2,1,4,993,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.311922284723875,0.798682651020185
2,1,4,993,2,1,4,993,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.230957307115008,0.72966676857866
2,1,4,993,2,1,4,993,1,1,4,994,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.24622317436833,0.847614071752004
1,2,3,994,1,2,3,994,1,1,4,994,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.346311189331455,0.784767502793593
2,1,4,993,2,1,4,993,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.324583428182481,0.821680663632819
4,0,5,991,3,0,5,992,2,0,5,993,0,0,5,995,2,3,2,993,2,3,2,993,1,3,2,994,0,3,2,995,0.194805988937329,0.80301764060808
2,2,3,993,2,2,3,993,2,1,4,993,2,1,4,993,3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0.493714702707124,0.783709883569778
4,0,5,991,2,0,5,993,1,0,5,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.190941922886072,0.802456663138907
2,2,3,993,2,2,3,993,2,1,4,993,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.422187798701637,0.811958440308086
2,1,4,993,2,1,4,993,1,0,5,994,1,0,5,994,2,3,2,993,1,3,2,994,1,3,2,994,1,3,2,994,0.313457033896624,0.816901419775373
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,2,3,2,993,2,3,2,993,1,3,2,994,1,3,2,994,0.42086739404663,0.82540554061056
2,2,3,993,0,1,4,995,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.316805422281307,0.797349772272472
1,2,3,994,0,2,3,995,0,2,3,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.366036186964524,0.782757528100222
1,1,4,994,1,1,4,994,1,1,4,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.240754790955167,0.779431425265865
4,0,5,991,2,0,5,993,2,0,5,993,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.211323584091839,0.739849531336028
1,2,3,994,1,2,3,994,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.341594001861592,0.784895801223499
2,2,3,993,2,2,3,993,2,1,4,993,1,1,4,994,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.453742925766243,0.849546004425617
2,2,3,993,2,2,3,993,2,1,4,993,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.460329160546744,0.847441359774957
3,2,3,992,2,1,4,993,1,0,5,994,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.320133124640755,0.833514390299647
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.292397236002751,0.791406325910716
2,2,3,993,2,0,5,993,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.251401087625281,0.822016564070398
2,1,4,993,1,0,5,994,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.221867450931562,0.83395964323801
2,0,5,993,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.205616790177366,0.834667139875009
2,1,4,993,2,1,4,993,2,1,4,993,0,0,5,995,2,3,2,993,2,3,2,993,2,3,2,993,0,3,2,995,0.256276349675622,0.798220911655282
2,1,4,993,2,1,4,993,1,0,5,994,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.309986654322784,0.860637773332203
2,1,4,993,2,1,4,993,2,0,5,993,0,0,5,995,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.346153633361409,0.790200228248418
2,2,3,993,1,1,4,994,1,1,4,994,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.396252793565768,0.783790593121646
3,1,4,992,2,0,5,993,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.207464414274921,0.801934470465686
2,0,5,993,2,0,5,993,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.276988632134786,0.774042761590883
1,2,3,994,1,2,3,994,0,2,3,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.290126701531502,0.823398924209763
1,1,4,994,1,1,4,994,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.245725922759142,0.788213462849873
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.326584567669361,0.76264043947239
3,0,5,992,2,0,5,993,2,0,5,993,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.186421510853403,0.778834464031971
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.472938278728873,0.83622309704908
3,2,3,992,3,1,4,992,2,1,4,993,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.414687910770918,0.787604609512648
2,1,4,993,1,1,4,994,1,1,4,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.338306188379586,0.798271272450052
2,0,5,993,2,0,5,993,2,0,5,993,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.268080004047042,0.824895728836855
2,1,4,993,0,1,4,995,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.261834579642894,0.811264094764599
2,1,4,993,2,1,4,993,2,1,4,993,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.257764202592625,0.745446258640057
2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.433710128307924,0.82772628109127
1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0.2565763115591,0.795288056141383
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.625551896087358,0.809865459537611
1,2,3,994,0,2,3,995,0,2,3,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.295748280606019,0.774585677896073
2,1,4,993,2,1,4,993,1,1,4,994,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,0,3,2,995,0.274108376074722,0.808263250358838
1,2,3,994,0,1,4,995,0,1,4,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.221705491801927,0.771485023064224
3,0,5,992,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.274596796445165,0.814559427934086
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.370206182612904,0.812439198645189
2,2,3,993,2,2,3,993,2,1,4,993,1,1,4,994,2,3,2,993,2,3,2,993,2,3,2,993,1,3,2,994,0.420829779589526,0.798379161149758
2,1,4,993,1,1,4,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.221910127680661,0.795764251358832
2,2,3,993,2,2,3,993,2,1,4,993,2,0,5,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.457062124093883,0.815839419681409
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.290028746958095,0.733988945462895
0,1,4,995,0,0,5,995,0,0,5,995,0,0,5,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.215313523250755,0.781505744270403
2,1,4,993,2,1,4,993,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.283282677329819,0.747351050623261
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.235759770652925,0.786317892277404
