"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
150,3,2,845,106,3,2,889,67,3,2,928,24,3,2,971,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.397066993096569,0.770531393163926
71,4,1,924,42,4,1,953,28,4,1,967,10,2,3,985,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.352269710037463,0.751152334188958
137,3,2,858,93,2,3,902,52,2,3,943,27,2,3,968,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.368314807580894,0.731511262904096
114,4,1,881,80,4,1,915,42,4,1,953,17,4,1,978,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.374454818008599,0.857302278300749
75,4,1,920,52,4,1,943,24,4,1,971,10,2,3,985,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.358608204916209,0.829169509859762
100,3,2,895,67,3,2,928,37,3,2,958,18,3,2,977,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.370589832382504,0.783425245778933
61,3,2,934,45,3,2,950,32,3,2,963,17,3,2,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.347249682056339,0.754393310999959
90,4,1,905,57,4,1,938,30,3,2,965,14,3,2,981,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.35334571445982,0.650521278190247
83,4,1,912,58,3,2,937,35,3,2,960,22,3,2,973,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.348625040475604,0.768147671903698
67,3,2,928,45,3,2,950,26,3,2,969,11,3,2,984,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.34646973533557,0.740166995173403
101,3,2,894,70,3,2,925,39,3,2,956,19,3,2,976,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.368853562623264,0.694217068482595
50,3,2,945,30,3,2,965,15,3,2,980,3,3,2,992,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.303518502211939,0.832076734774057
54,2,3,941,27,2,3,968,13,2,3,982,2,2,3,993,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.373898945041224,0.72841635628415
162,4,1,833,121,4,1,874,80,4,1,915,38,3,2,957,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.424039554196406,0.788411980620742
110,4,1,885,74,4,1,921,45,4,1,950,19,4,1,976,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.374328194254515,0.78332651258435
114,4,1,881,81,3,2,914,55,3,2,940,28,2,3,967,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.411190100897342,0.786480794642837
77,3,2,918,49,3,2,946,31,3,2,964,13,2,3,982,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.344233231097019,0.810319538415305
88,3,2,907,57,3,2,938,38,3,2,957,13,2,3,982,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.363718817493363,0.769642968549327
88,4,1,907,55,4,1,940,23,4,1,972,10,3,2,985,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.367172167045734,0.815095268272021
