"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.790025526954263,0.770531393163926
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.770567761213697,0.751152334188958
2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.772278870233851,0.731511262904096
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.758239820495906,0.857302278300749
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.731177176175411,0.829169509859762
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.73528113235854,0.783425245778933
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.75539613363597,0.754393310999959
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.757529163654666,0.650521278190247
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.788469608533719,0.768147671903698
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.769669806437007,0.740166995173403
2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.70284440515236,0.694217068482595
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.809591180579227,0.832076734774057
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.769816139797406,0.72841635628415
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.777808966623192,0.788411980620742
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.781334228306392,0.78332651258435
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.781483969818472,0.786480794642837
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.747633531591778,0.810319538415305
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.767150337376618,0.769642968549327
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.788561108902913,0.815095268272021
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.775825615125965,0.739747423103411
2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.768897484613232,0.747006603995104
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.733472849281668,0.759209777698409
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.758108595624706,0.752991938549149
0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.760604261866858,0.726669011244334
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.774298116477608,0.73999012707919
1,4,1,994,1,4,1,994,1,3,2,994,1,3,2,994,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0.732243166389425,0.733700282750228
1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.732045122387562,0.832405519322607
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.779821247185349,0.761149744864211
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.738189479619728,0.718613972723348
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.783172369602575,0.762629763539046
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.811177097609256,0.79130505467405
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.776533664695538,0.754433453707233
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0.768823439751578,0.71024314333324
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.784774919975261,0.774170478828046
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.779396170865784,0.799984225009849
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.76783327317683,0.749805947464253
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.794117492711624,0.772443735397901
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.792214881079474,0.781977248207918
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.745115646672649,0.775996409785319
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.783044960266901,0.707722856066391
