"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
8,4,1,67,3,4,1,72,2,3,2,73,0,3,2,75,2,4,1,73,2,4,1,73,1,4,1,74,1,3,2,74,4,3,2,71,4,3,2,71,2,3,2,73,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,63,4,1,12,56,4,1,19,47,4,1,28,42,4,1,33,0.295386153451745,0.613695235882747,0.77780374599762,0.655209408876463,0.369358249306883
3,4,1,72,1,4,1,74,1,4,1,74,0,4,1,75,2,4,1,73,2,4,1,73,2,4,1,73,1,4,1,74,4,4,1,71,2,4,1,73,2,4,1,73,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,18,3,2,57,14,3,2,61,8,2,3,67,1,2,3,74,0.346586627719183,0.721472261249743,0.718375294258315,0.672983268523602,0.530154565384294
0,1,4,75,0,1,4,75,0,1,4,75,0,1,4,75,1,5,0,74,1,5,0,74,0,5,0,75,0,4,1,75,74,5,0,1,74,5,0,1,74,5,0,1,74,5,0,1,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,35,5,0,40,33,5,0,42,28,4,1,47,10,4,1,65,0.566676017342082,0.663170340711178,1,0.67920171055689,0.392550938942691
3,4,1,72,1,4,1,74,1,4,1,74,0,4,1,75,2,4,1,73,2,4,1,73,2,4,1,73,1,4,1,74,2,4,1,73,2,4,1,73,2,4,1,73,1,4,1,74,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,29,3,2,46,17,3,2,58,8,3,2,67,2,3,2,73,0.351079282378001,0.650847587453163,0.794093245050183,0.649707302805329,0.438600752962675
1,4,1,74,0,4,1,75,0,4,1,75,0,3,2,75,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,29,4,1,46,25,4,1,50,17,4,1,58,3,4,1,72,0.295929816591609,0.64990847424898,0.730401758465249,0.645316334236714,0.409646268537307
0,4,1,75,0,4,1,75,0,4,1,75,0,2,3,75,2,4,1,73,2,4,1,73,0,4,1,75,0,4,1,75,4,3,2,71,4,3,2,71,4,3,2,71,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,61,5,0,14,54,5,0,21,44,5,0,31,36,5,0,39,0.429952892153229,0.69731239113056,0.789751922767969,0.635980657814923,0.391809059937844
2,4,1,73,0,3,2,75,0,3,2,75,0,3,2,75,3,3,2,72,3,3,2,72,3,3,2,72,1,3,2,74,2,3,2,73,2,3,2,73,2,3,2,73,2,3,2,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,63,3,2,12,59,3,2,16,51,3,2,24,44,3,2,31,0.339150577917875,0.654931413426034,0.791343118530414,0.646599669054285,0.366967160695869
1,3,2,74,0,3,2,75,0,3,2,75,0,3,2,75,1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,57,4,1,18,49,4,1,26,42,4,1,33,40,4,1,35,0.522394790490072,0.651652153721119,0.780584956881721,0.625037260107196,0.427469673654992
1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,1,5,0,74,1,5,0,74,0,5,0,75,0,5,0,75,72,5,0,3,72,5,0,3,72,5,0,3,68,5,0,7,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,29,4,1,46,21,4,1,54,12,4,1,63,2,3,2,73,0.398064285624039,0.64150438231635,0.705184925709892,0.675352696263767,0.415542298996405
4,4,1,71,2,4,1,73,0,3,2,75,0,3,2,75,2,4,1,73,2,4,1,73,2,4,1,73,2,4,1,73,2,4,1,73,2,4,1,73,1,4,1,74,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,29,4,1,46,26,4,1,49,21,4,1,54,8,4,1,67,0.307724847357446,0.696989674923173,0.802531262234936,0.662031360817222,0.468166338558151
