"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
0,2,3,995,0,2,3,995,0,2,3,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,19,5,0,976,19,5,0,976,19,5,0,976,19,5,0,976,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,1,2,3,994,0,2,3,995,0,1,4,995,0,1,4,995,0.362488452140817,0.757793455430558,0.825393594635046,0.528681856676729,0.218408444311197
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,16,5,0,979,16,5,0,979,16,5,0,979,16,5,0,979,1,4,1,994,0,4,1,995,0,4,1,995,0,4,1,995,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.43500991971903,0.760426168951005,0.804328069637906,0.300216791231939,0.215460118408009
0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,18,5,0,977,18,5,0,977,18,5,0,977,18,5,0,977,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,2,3,2,993,1,2,3,994,0,2,3,995,0,2,3,995,0.532700227499759,0.741482445521594,0.819751089766185,0.565739282991456,0.2490778010484
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,16,5,0,979,16,5,0,979,16,5,0,979,16,5,0,979,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,5,2,3,990,1,1,4,994,1,1,4,994,0,1,4,995,0.441712109936784,0.70794694161552,0.808087818512927,0.617712281369263,0.24028406955727
0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,25,5,0,970,25,5,0,970,25,5,0,970,25,5,0,970,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,1,2,3,994,0,2,3,995,0,2,3,995,0,1,4,995,0.493957052868141,0.71422125922139,0.890677280462148,0.63541364248659,0.221356447370557
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,27,5,0,968,27,5,0,968,27,5,0,968,27,5,0,968,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,4,1,994,1,4,1,994,0,4,1,995,0,4,1,995,0.439941851281556,0.763594348091756,0.903333931420678,0.555841900298087,0.313688000632605
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,17,5,0,978,17,5,0,978,17,5,0,978,17,5,0,978,2,5,0,993,1,5,0,994,0,5,0,995,0,5,0,995,2,1,4,993,0,1,4,995,0,1,4,995,0,1,4,995,0.34101154088716,0.770080963856807,0.813305685289726,0.510288195955575,0.18309281576897
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,21,5,0,974,21,5,0,974,21,5,0,974,21,5,0,974,3,4,1,992,1,4,1,994,0,4,1,995,0,4,1,995,1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0.427906298716938,0.717610895076113,0.857221830757587,0.439830352077152,0.224935844248201
0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,16,5,0,979,16,5,0,979,16,5,0,979,16,5,0,979,5,4,1,990,3,4,1,992,1,4,1,994,0,4,1,995,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0.286242423777876,0.707835851311048,0.793370643879508,0.460073927003898,0.32462829102021
0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,29,4,1,966,29,4,1,966,29,4,1,966,29,4,1,966,3,4,1,992,0,4,1,995,0,4,1,995,0,4,1,995,2,0,5,993,0,0,5,995,0,0,5,995,0,0,5,995,0.396302963494294,0.702062196262719,0.902194244389156,0.422196898517718,0.19912384803268
0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,8,5,0,987,8,5,0,987,8,5,0,987,8,5,0,987,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.36733352520213,0.698859909415797,0.734408147159231,0.516129360900728,0.270953189430406
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,22,5,0,973,22,5,0,973,22,5,0,973,22,5,0,973,3,3,2,992,2,3,2,993,1,3,2,994,0,3,2,995,2,0,5,993,0,0,5,995,0,0,5,995,0,0,5,995,0.432386990361593,0.732462835763503,0.841651231336788,0.44551157382111,0.172466669334668
1,4,1,994,0,4,1,995,0,4,1,995,0,4,1,995,1,4,1,994,1,4,1,994,0,4,1,995,0,4,1,995,21,5,0,974,21,5,0,974,21,5,0,974,21,5,0,974,2,4,1,993,2,4,1,993,1,4,1,994,0,4,1,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.205270987429632,0.696301239729571,0.845503883510861,0.484090481066529,0.20082492485005
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,25,5,0,970,25,5,0,970,25,5,0,970,25,5,0,970,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,2,3,2,993,0,3,2,995,0,3,2,995,0,2,3,995,0.390262684364732,0.737051872156878,0.880371580883078,0.495823414581288,0.251305556497188
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,15,5,0,980,15,5,0,980,15,5,0,980,15,5,0,980,2,3,2,993,1,3,2,994,1,3,2,994,0,3,2,995,1,1,4,994,1,1,4,994,1,1,4,994,0,1,4,995,0.396910619014271,0.715156101296431,0.800243763198975,0.491126008116297,0.227526812291222
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,1,4,1,994,0,4,1,995,0,4,1,995,0,4,1,995,11,5,0,984,11,5,0,984,11,5,0,984,11,5,0,984,2,4,1,993,2,4,1,993,2,4,1,993,1,4,1,994,3,0,5,992,2,0,5,993,0,0,5,995,0,0,5,995,0.575301130759976,0.752150177070065,0.763117431017608,0.629704436814113,0.188257679437604
0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,9,5,0,986,9,5,0,986,9,5,0,986,9,5,0,986,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,2,3,994,1,2,3,994,1,1,4,994,1,1,4,994,0.508142788247656,0.712298590620444,0.763303351991247,0.617396809985625,0.254783768614743
2,4,1,993,1,4,1,994,1,4,1,994,0,3,2,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,23,5,0,972,23,5,0,972,23,5,0,972,23,5,0,972,4,4,1,991,2,4,1,993,2,3,2,993,2,3,2,993,4,0,5,991,1,0,5,994,0,0,5,995,0,0,5,995,0.209851827613577,0.808896494846655,0.862774702839103,0.405066940791893,0.190292116267042
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,30,5,0,965,30,5,0,965,30,5,0,965,30,5,0,965,181,3,2,814,128,2,3,867,66,2,3,929,20,2,3,975,5,0,5,990,1,0,5,994,0,0,5,995,0,0,5,995,0.601243816571326,0.709067110763997,0.920187203507881,0.40493507755956,0.17990992520925
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,25,5,0,970,25,5,0,970,25,5,0,970,25,5,0,970,3,3,2,992,3,3,2,992,2,3,2,993,1,3,2,994,2,1,4,993,1,1,4,994,0,1,4,995,0,1,4,995,0.392699170940029,0.71629578243409,0.877185855183324,0.53407260823961,0.219077376367449
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,12,5,0,983,12,5,0,983,12,5,0,983,12,5,0,983,1,5,0,994,1,5,0,994,0,5,0,995,0,5,0,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.667105195329462,0.732209844049129,0.792496984624722,0.489320059952889,0.218299947956825
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,4,5,0,991,4,5,0,991,4,5,0,991,4,5,0,991,2,4,1,993,1,4,1,994,1,4,1,994,1,4,1,994,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.580802755609904,0.714547181811884,0.704405037410664,0.611394258286941,0.179412265233872
