"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
3,1,4,992,2,1,4,993,2,1,4,993,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.474650112887375,0.834630441755378
3,0,5,992,2,0,5,993,1,0,5,994,1,0,5,994,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0.350840282721983,0.748657488632223
3,0,5,992,2,0,5,993,0,0,5,995,0,0,5,995,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0.287935990939063,0.757420900688862
3,1,4,992,3,0,5,992,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.41649187203502,0.85808110152409
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.436306134937529,0.837615131668571
2,2,3,993,2,2,3,993,2,2,3,993,2,1,4,993,3,2,3,992,3,2,3,992,2,2,3,993,2,2,3,993,0.647059433324597,0.850788836432153
2,0,5,993,0,0,5,995,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.271062501613958,0.80176109316165
2,1,4,993,1,0,5,994,1,0,5,994,0,0,5,995,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,0.272236037411604,0.6862835834424
3,0,5,992,3,0,5,992,2,0,5,993,0,0,5,995,2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0.225250805965732,0.806888360634143
2,1,4,993,2,1,4,993,2,1,4,993,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,2,2,3,993,0.347073026084056,0.80462583676629
2,1,4,993,2,0,5,993,2,0,5,993,0,0,5,995,2,3,2,993,2,2,3,993,2,2,3,993,2,2,3,993,0.253941347823029,0.69560964304941
2,1,4,993,2,1,4,993,1,1,4,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.30508685948251,0.860482242972716
1,1,4,994,1,1,4,994,1,1,4,994,1,0,5,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.368710265623259,0.765974888860312
2,1,4,993,2,1,4,993,1,1,4,994,1,0,5,994,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.384937430532383,0.834719339711053
2,0,5,993,1,0,5,994,1,0,5,994,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,1,2,3,994,0.284507065111046,0.786979769691906
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0.488052033424457,0.751850393688058
1,0,5,994,1,0,5,994,1,0,5,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.23420239435573,0.814817942219287
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.41316451244646,0.824352820041216
2,1,4,993,2,0,5,993,2,0,5,993,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.30522497116566,0.846760769884105
3,1,4,992,2,1,4,993,2,1,4,993,1,1,4,994,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.632544326573727,0.85697295618629
2,1,4,993,2,1,4,993,0,1,4,995,0,1,4,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.378118534900623,0.809615013257439
2,2,3,993,0,2,3,995,0,2,3,995,0,0,5,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.389575185658769,0.83217806403541
1,1,4,994,1,1,4,994,1,0,5,994,0,0,5,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.28860981123454,0.803825073968307
1,0,5,994,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.25116768024842,0.756738658143238
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.349732686484779,0.818869671200544
2,1,4,993,2,1,4,993,2,1,4,993,2,1,4,993,2,3,2,993,2,3,2,993,2,3,2,993,2,2,3,993,0.544126992370622,0.874655631059328
2,2,3,993,2,1,4,993,2,1,4,993,2,1,4,993,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0.507117469772074,0.810146561870108
3,1,4,992,2,0,5,993,2,0,5,993,1,0,5,994,3,2,3,992,3,2,3,992,3,2,3,992,2,2,3,993,0.408811257153892,0.839756916211506
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.351424029573344,0.815930765209238
2,1,4,993,2,0,5,993,2,0,5,993,0,0,5,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.261405214036134,0.841133682369553
2,0,5,993,2,0,5,993,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.239068439209553,0.831465293877578
4,0,5,991,3,0,5,992,1,0,5,994,0,0,5,995,2,3,2,993,2,3,2,993,1,3,2,994,0,3,2,995,0.228571719680207,0.848473687761956
2,1,4,993,2,0,5,993,2,0,5,993,0,0,5,995,2,3,2,993,2,3,2,993,2,3,2,993,1,2,3,994,0.257043906604979,0.809908468535108
2,1,4,993,2,0,5,993,1,0,5,994,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,2,2,3,993,0.333175415426648,0.868130811179583
2,1,4,993,2,0,5,993,2,0,5,993,2,0,5,993,2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0.372841360149984,0.806513186357821
3,1,4,992,1,1,4,994,1,0,5,994,1,0,5,994,3,2,3,992,3,2,3,992,1,2,3,994,1,2,3,994,0.450498688447509,0.780627588606376
3,0,5,992,3,0,5,992,1,0,5,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.247294156752752,0.815984405061433
2,0,5,993,2,0,5,993,2,0,5,993,2,0,5,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.373739529469582,0.829038165256052
2,2,3,993,2,1,4,993,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.362283243510505,0.83107032848449
2,1,4,993,1,1,4,994,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.248425854794799,0.805348724519577
1,1,4,994,1,1,4,994,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.247306517482438,0.785650561927704
3,0,5,992,2,0,5,993,2,0,5,993,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.198498820922358,0.771737480025019
2,2,3,993,2,1,4,993,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.513745175181696,0.828197892704521
3,1,4,992,3,1,4,992,2,1,4,993,0,0,5,995,3,2,3,992,3,2,3,992,3,2,3,992,2,2,3,993,0.445473352384497,0.866833342581018
2,1,4,993,1,1,4,994,1,1,4,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.371769251570562,0.806358727244479
2,0,5,993,2,0,5,993,2,0,5,993,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.275150558984751,0.819330707518138
3,1,4,992,1,0,5,994,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.339596387181569,0.814049003046754
2,1,4,993,2,1,4,993,2,0,5,993,0,0,5,995,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0.343053373740984,0.739680321788591
2,2,3,993,2,2,3,993,1,2,3,994,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.484794129987889,0.828844345408026
1,1,4,994,1,1,4,994,0,1,4,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.295751751303749,0.78819822628197
3,2,3,992,2,1,4,993,2,1,4,993,1,1,4,994,3,2,3,992,3,2,3,992,2,2,3,993,1,2,3,994,0.632300209008208,0.827922921103753
2,2,3,993,1,2,3,994,0,1,4,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.37372787182593,0.803083925842018
2,1,4,993,2,1,4,993,1,0,5,994,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,2,2,3,993,0.303910870761144,0.828148918567888
1,1,4,994,1,1,4,994,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.26290400042348,0.777177377703836
3,0,5,992,2,0,5,993,1,0,5,994,1,0,5,994,3,2,3,992,3,2,3,992,2,2,3,993,0,2,3,995,0.311547426293551,0.81659763634523
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0.44081260981769,0.816471001511199
2,1,4,993,2,1,4,993,2,1,4,993,2,1,4,993,2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0.457330533341298,0.817116040923617
2,1,4,993,1,1,4,994,1,0,5,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.275015185833775,0.82959826221271
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0.42561792442235,0.811101028931912
2,1,4,993,2,1,4,993,2,1,4,993,1,0,5,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.331816496926865,0.749602188214218
1,0,5,994,0,0,5,995,0,0,5,995,0,0,5,995,2,3,2,993,0,3,2,995,0,3,2,995,0,3,2,995,0.198472973853431,0.747547570291011
2,1,4,993,2,1,4,993,2,1,4,993,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.345291848405334,0.77696168201944
1,1,4,994,1,1,4,994,1,0,5,994,1,0,5,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.269254776263291,0.812561500091591
