"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","S1","S2","S3"
1,2,3,994,1,2,3,994,1,2,3,994,0,1,4,995,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0.675783300841159,0.683114183288037,0.678398839816852
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.77142804475325,0.752826802821653,0.755513844813897
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.788356756816283,0.825364387175515,0.778032696173172
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.813345039210823,0.816460738095069,0.816663223277641
0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.7613134431152,0.798237253913646,0.798237253913646
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.737259034188315,0.73750664610472,0.738726687358848
1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.674871742693348,0.701812878979558,0.724113193426587
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.728991392614234,0.748486179168144,0.726122441527141
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.713899673770802,0.713899673770802,0.713899673770802
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.793938090860535,0.77188398075564,0.781527595514249
